emoji,code_points,status,name
🧔,1F9D4                                                  ,fully-qualified,person: beard
🧔🏻,1F9D4 1F3FB                                            ,fully-qualified,"person: light skin tone, beard"
🧔🏼,1F9D4 1F3FC                                            ,fully-qualified,"person: medium-light skin tone, beard"
🧔🏽,1F9D4 1F3FD                                            ,fully-qualified,"person: medium skin tone, beard"
🧔🏾,1F9D4 1F3FE                                            ,fully-qualified,"person: medium-dark skin tone, beard"
🧔🏿,1F9D4 1F3FF                                            ,fully-qualified,"person: dark skin tone, beard"
🧔‍♂️,1F9D4 200D 2642 FE0F                                   ,fully-qualified,man: beard
🧔‍♂,1F9D4 200D 2642                                        ,minimally-qualified,man: beard
🧔🏻‍♂️,1F9D4 1F3FB 200D 2642 FE0F                             ,fully-qualified,"man: light skin tone, beard"
🧔🏻‍♂,1F9D4 1F3FB 200D 2642                                  ,minimally-qualified,"man: light skin tone, beard"
🧔🏼‍♂️,1F9D4 1F3FC 200D 2642 FE0F                             ,fully-qualified,"man: medium-light skin tone, beard"
🧔🏼‍♂,1F9D4 1F3FC 200D 2642                                  ,minimally-qualified,"man: medium-light skin tone, beard"
🧔🏽‍♂️,1F9D4 1F3FD 200D 2642 FE0F                             ,fully-qualified,"man: medium skin tone, beard"
🧔🏽‍♂,1F9D4 1F3FD 200D 2642                                  ,minimally-qualified,"man: medium skin tone, beard"
🧔🏾‍♂️,1F9D4 1F3FE 200D 2642 FE0F                             ,fully-qualified,"man: medium-dark skin tone, beard"
🧔🏾‍♂,1F9D4 1F3FE 200D 2642                                  ,minimally-qualified,"man: medium-dark skin tone, beard"
🧔🏿‍♂️,1F9D4 1F3FF 200D 2642 FE0F                             ,fully-qualified,"man: dark skin tone, beard"
🧔🏿‍♂,1F9D4 1F3FF 200D 2642                                  ,minimally-qualified,"man: dark skin tone, beard"
🧔‍♀️,1F9D4 200D 2640 FE0F                                   ,fully-qualified,woman: beard
🧔‍♀,1F9D4 200D 2640                                        ,minimally-qualified,woman: beard
🧔🏻‍♀️,1F9D4 1F3FB 200D 2640 FE0F                             ,fully-qualified,"woman: light skin tone, beard"
🧔🏻‍♀,1F9D4 1F3FB 200D 2640                                  ,minimally-qualified,"woman: light skin tone, beard"
🧔🏼‍♀️,1F9D4 1F3FC 200D 2640 FE0F                             ,fully-qualified,"woman: medium-light skin tone, beard"
🧔🏼‍♀,1F9D4 1F3FC 200D 2640                                  ,minimally-qualified,"woman: medium-light skin tone, beard"
🧔🏽‍♀️,1F9D4 1F3FD 200D 2640 FE0F                             ,fully-qualified,"woman: medium skin tone, beard"
🧔🏽‍♀,1F9D4 1F3FD 200D 2640                                  ,minimally-qualified,"woman: medium skin tone, beard"
