emoji,code_points,status,name
😀,1F600                                                  ,fully-qualified,grinning face
😃,1F603                                                  ,fully-qualified,grinning face with big eyes
😄,1F604                                                  ,fully-qualified,grinning face with smiling eyes
😁,1F601                                                  ,fully-qualified,beaming face with smiling eyes
😆,1F606                                                  ,fully-qualified,grinning squinting face
😅,1F605                                                  ,fully-qualified,grinning face with sweat
🤣,1F923                                                  ,fully-qualified,rolling on the floor laughing
😂,1F602                                                  ,fully-qualified,face with tears of joy
🙂,1F642                                                  ,fully-qualified,slightly smiling face
🙃,1F643                                                  ,fully-qualified,upside-down face
🫠,1FAE0                                                  ,fully-qualified,melting face
😉,1F609                                                  ,fully-qualified,winking face
😊,1F60A                                                  ,fully-qualified,smiling face with smiling eyes
😇,1F607                                                  ,fully-qualified,smiling face with halo
🥰,1F970                                                  ,fully-qualified,smiling face with hearts
😍,1F60D                                                  ,fully-qualified,smiling face with heart-eyes
🤩,1F929                                                  ,fully-qualified,star-struck
😘,1F618                                                  ,fully-qualified,face blowing a kiss
😗,1F617                                                  ,fully-qualified,kissing face
☺️,263A FE0F                                              ,fully-qualified,smiling face
☺,263A                                                   ,unqualified,smiling face
😚,1F61A                                                  ,fully-qualified,kissing face with closed eyes
😙,1F619                                                  ,fully-qualified,kissing face with smiling eyes
🥲,1F972                                                  ,fully-qualified,smiling face with tear
😋,1F60B                                                  ,fully-qualified,face savoring food
😛,1F61B                                                  ,fully-qualified,face with tongue
😜,1F61C                                                  ,fully-qualified,winking face with tongue
🤪,1F92A                                                  ,fully-qualified,zany face
😝,1F61D                                                  ,fully-qualified,squinting face with tongue
🤑,1F911                                                  ,fully-qualified,money-mouth face
🤗,1F917                                                  ,fully-qualified,smiling face with open hands
🤭,1F92D                                                  ,fully-qualified,face with hand over mouth
🫢,1FAE2                                                  ,fully-qualified,face with open eyes and hand over mouth
🫣,1FAE3                                                  ,fully-qualified,face with peeking eye
🤫,1F92B                                                  ,fully-qualified,shushing face
🤔,1F914                                                  ,fully-qualified,thinking face
🫡,1FAE1                                                  ,fully-qualified,saluting face
🤐,1F910                                                  ,fully-qualified,zipper-mouth face
🤨,1F928                                                  ,fully-qualified,face with raised eyebrow
😐,1F610                                                  ,fully-qualified,neutral face
😑,1F611                                                  ,fully-qualified,expressionless face
😶,1F636                                                  ,fully-qualified,face without mouth
🫥,1FAE5                                                  ,fully-qualified,dotted line face
😶‍🌫️,1F636 200D 1F32B FE0F                                  ,fully-qualified,face in clouds
😶‍🌫,1F636 200D 1F32B                                       ,minimally-qualified,face in clouds
😏,1F60F                                                  ,fully-qualified,smirking face
😒,1F612                                                  ,fully-qualified,unamused face
🙄,1F644                                                  ,fully-qualified,face with rolling eyes
😬,1F62C                                                  ,fully-qualified,grimacing face
😮‍💨,1F62E 200D 1F4A8                                       ,fully-qualified,face exhaling
🤥,1F925                                                  ,fully-qualified,lying face
🫨,1FAE8                                                  ,fully-qualified,shaking face
🙂‍↔️,1F642 200D 2194 FE0F                                   ,fully-qualified,head shaking horizontally
🙂‍↔,1F642 200D 2194                                        ,minimally-qualified,head shaking horizontally
🙂‍↕️,1F642 200D 2195 FE0F                                   ,fully-qualified,head shaking vertically
🙂‍↕,1F642 200D 2195                                        ,minimally-qualified,head shaking vertically
😌,1F60C                                                  ,fully-qualified,relieved face
😔,1F614                                                  ,fully-qualified,pensive face
😪,1F62A                                                  ,fully-qualified,sleepy face
🤤,1F924                                                  ,fully-qualified,drooling face
😴,1F634                                                  ,fully-qualified,sleeping face
🫩,1FAE9                                                  ,fully-qualified,face with bags under eyes
😷,1F637                                                  ,fully-qualified,face with medical mask
🤒,1F912                                                  ,fully-qualified,face with thermometer
🤕,1F915                                                  ,fully-qualified,face with head-bandage
🤢,1F922                                                  ,fully-qualified,nauseated face
🤮,1F92E                                                  ,fully-qualified,face vomiting
🤧,1F927                                                  ,fully-qualified,sneezing face
🥵,1F975                                                  ,fully-qualified,hot face
🥶,1F976                                                  ,fully-qualified,cold face
🥴,1F974                                                  ,fully-qualified,woozy face
😵,1F635                                                  ,fully-qualified,face with crossed-out eyes
😵‍💫,1F635 200D 1F4AB                                       ,fully-qualified,face with spiral eyes
🤯,1F92F                                                  ,fully-qualified,exploding head
🤠,1F920                                                  ,fully-qualified,cowboy hat face
🥳,1F973                                                  ,fully-qualified,partying face
🥸,1F978                                                  ,fully-qualified,disguised face
😎,1F60E                                                  ,fully-qualified,smiling face with sunglasses
🤓,1F913                                                  ,fully-qualified,nerd face
🧐,1F9D0                                                  ,fully-qualified,face with monocle
😕,1F615                                                  ,fully-qualified,confused face
🫤,1FAE4                                                  ,fully-qualified,face with diagonal mouth
😟,1F61F                                                  ,fully-qualified,worried face
🙁,1F641                                                  ,fully-qualified,slightly frowning face
☹️,2639 FE0F                                              ,fully-qualified,frowning face
☹,2639                                                   ,unqualified,frowning face
😮,1F62E                                                  ,fully-qualified,face with open mouth
😯,1F62F                                                  ,fully-qualified,hushed face
😲,1F632                                                  ,fully-qualified,astonished face
😳,1F633                                                  ,fully-qualified,flushed face
🥺,1F97A                                                  ,fully-qualified,pleading face
🥹,1F979                                                  ,fully-qualified,face holding back tears
😦,1F626                                                  ,fully-qualified,frowning face with open mouth
😧,1F627                                                  ,fully-qualified,anguished face
😨,1F628                                                  ,fully-qualified,fearful face
😰,1F630                                                  ,fully-qualified,anxious face with sweat
😥,1F625                                                  ,fully-qualified,sad but relieved face
😢,1F622                                                  ,fully-qualified,crying face
😭,1F62D                                                  ,fully-qualified,loudly crying face
😱,1F631                                                  ,fully-qualified,face screaming in fear
😖,1F616                                                  ,fully-qualified,confounded face
😣,1F623                                                  ,fully-qualified,persevering face
😞,1F61E                                                  ,fully-qualified,disappointed face
😓,1F613                                                  ,fully-qualified,downcast face with sweat
😩,1F629                                                  ,fully-qualified,weary face
😫,1F62B                                                  ,fully-qualified,tired face
🥱,1F971                                                  ,fully-qualified,yawning face
😤,1F624                                                  ,fully-qualified,face with steam from nose
😡,1F621                                                  ,fully-qualified,enraged face
😠,1F620                                                  ,fully-qualified,angry face
🤬,1F92C                                                  ,fully-qualified,face with symbols on mouth
😈,1F608                                                  ,fully-qualified,smiling face with horns
👿,1F47F                                                  ,fully-qualified,angry face with horns
💀,1F480                                                  ,fully-qualified,skull
☠️,2620 FE0F                                              ,fully-qualified,skull and crossbones
☠,2620                                                   ,unqualified,skull and crossbones
💩,1F4A9                                                  ,fully-qualified,pile of poo
🤡,1F921                                                  ,fully-qualified,clown face
👹,1F479                                                  ,fully-qualified,ogre
👺,1F47A                                                  ,fully-qualified,goblin
👻,1F47B                                                  ,fully-qualified,ghost
👽,1F47D                                                  ,fully-qualified,alien
👾,1F47E                                                  ,fully-qualified,alien monster
🤖,1F916                                                  ,fully-qualified,robot
😺,1F63A                                                  ,fully-qualified,grinning cat
😸,1F638                                                  ,fully-qualified,grinning cat with smiling eyes
😹,1F639                                                  ,fully-qualified,cat with tears of joy
😻,1F63B                                                  ,fully-qualified,smiling cat with heart-eyes
😼,1F63C                                                  ,fully-qualified,cat with wry smile
😽,1F63D                                                  ,fully-qualified,kissing cat
🙀,1F640                                                  ,fully-qualified,weary cat
😿,1F63F                                                  ,fully-qualified,crying cat
😾,1F63E                                                  ,fully-qualified,pouting cat
🙈,1F648                                                  ,fully-qualified,see-no-evil monkey
🙉,1F649                                                  ,fully-qualified,hear-no-evil monkey
🙊,1F64A                                                  ,fully-qualified,speak-no-evil monkey
💌,1F48C                                                  ,fully-qualified,love letter
💘,1F498                                                  ,fully-qualified,heart with arrow
💝,1F49D                                                  ,fully-qualified,heart with ribbon
💖,1F496                                                  ,fully-qualified,sparkling heart
💗,1F497                                                  ,fully-qualified,growing heart
💓,1F493                                                  ,fully-qualified,beating heart
💞,1F49E                                                  ,fully-qualified,revolving hearts
💕,1F495                                                  ,fully-qualified,two hearts
💟,1F49F                                                  ,fully-qualified,heart decoration
❣️,2763 FE0F                                              ,fully-qualified,heart exclamation
❣,2763                                                   ,unqualified,heart exclamation
💔,1F494                                                  ,fully-qualified,broken heart
❤️‍🔥,2764 FE0F 200D 1F525                                   ,fully-qualified,heart on fire
❤‍🔥,2764 200D 1F525                                        ,unqualified,heart on fire
❤️‍🩹,2764 FE0F 200D 1FA79                                   ,fully-qualified,mending heart
❤‍🩹,2764 200D 1FA79                                        ,unqualified,mending heart
❤️,2764 FE0F                                              ,fully-qualified,red heart
❤,2764                                                   ,unqualified,red heart
🩷,1FA77                                                  ,fully-qualified,pink heart
🧡,1F9E1                                                  ,fully-qualified,orange heart
💛,1F49B                                                  ,fully-qualified,yellow heart
💚,1F49A                                                  ,fully-qualified,green heart
💙,1F499                                                  ,fully-qualified,blue heart
🩵,1FA75                                                  ,fully-qualified,light blue heart
💜,1F49C                                                  ,fully-qualified,purple heart
🤎,1F90E                                                  ,fully-qualified,brown heart
🖤,1F5A4                                                  ,fully-qualified,black heart
🩶,1FA76                                                  ,fully-qualified,grey heart
🤍,1F90D                                                  ,fully-qualified,white heart
💋,1F48B                                                  ,fully-qualified,kiss mark
💯,1F4AF                                                  ,fully-qualified,hundred points
💢,1F4A2                                                  ,fully-qualified,anger symbol
💥,1F4A5                                                  ,fully-qualified,collision
💫,1F4AB                                                  ,fully-qualified,dizzy
💦,1F4A6                                                  ,fully-qualified,sweat droplets
💨,1F4A8                                                  ,fully-qualified,dashing away
🕳️,1F573 FE0F                                             ,fully-qualified,hole
🕳,1F573                                                  ,unqualified,hole
💬,1F4AC                                                  ,fully-qualified,speech balloon
👁️‍🗨️,1F441 FE0F 200D 1F5E8 FE0F                             ,fully-qualified,eye in speech bubble
👁‍🗨️,1F441 200D 1F5E8 FE0F                                  ,unqualified,eye in speech bubble
👁️‍🗨,1F441 FE0F 200D 1F5E8                                  ,minimally-qualified,eye in speech bubble
👁‍🗨,1F441 200D 1F5E8                                       ,unqualified,eye in speech bubble
🗨️,1F5E8 FE0F                                             ,fully-qualified,left speech bubble
🗨,1F5E8                                                  ,unqualified,left speech bubble
🗯️,1F5EF FE0F                                             ,fully-qualified,right anger bubble
🗯,1F5EF                                                  ,unqualified,right anger bubble
💭,1F4AD                                                  ,fully-qualified,thought balloon
💤,1F4A4                                                  ,fully-qualified,ZZZ
👋,1F44B                                                  ,fully-qualified,waving hand
👋🏻,1F44B 1F3FB                                            ,fully-qualified,waving hand: light skin tone
👋🏼,1F44B 1F3FC                                            ,fully-qualified,waving hand: medium-light skin tone
👋🏽,1F44B 1F3FD                                            ,fully-qualified,waving hand: medium skin tone
👋🏾,1F44B 1F3FE                                            ,fully-qualified,waving hand: medium-dark skin tone
👋🏿,1F44B 1F3FF                                            ,fully-qualified,waving hand: dark skin tone
🤚,1F91A                                                  ,fully-qualified,raised back of hand
🤚🏻,1F91A 1F3FB                                            ,fully-qualified,raised back of hand: light skin tone
🤚🏼,1F91A 1F3FC                                            ,fully-qualified,raised back of hand: medium-light skin tone
🤚🏽,1F91A 1F3FD                                            ,fully-qualified,raised back of hand: medium skin tone
🤚🏾,1F91A 1F3FE                                            ,fully-qualified,raised back of hand: medium-dark skin tone
🤚🏿,1F91A 1F3FF                                            ,fully-qualified,raised back of hand: dark skin tone
🖐️,1F590 FE0F                                             ,fully-qualified,hand with fingers splayed
🖐,1F590                                                  ,unqualified,hand with fingers splayed
🖐🏻,1F590 1F3FB                                            ,fully-qualified,hand with fingers splayed: light skin tone
🖐🏼,1F590 1F3FC                                            ,fully-qualified,hand with fingers splayed: medium-light skin tone
🖐🏽,1F590 1F3FD                                            ,fully-qualified,hand with fingers splayed: medium skin tone
🖐🏾,1F590 1F3FE                                            ,fully-qualified,hand with fingers splayed: medium-dark skin tone
🖐🏿,1F590 1F3FF                                            ,fully-qualified,hand with fingers splayed: dark skin tone
✋,270B                                                   ,fully-qualified,raised hand
✋🏻,270B 1F3FB                                             ,fully-qualified,raised hand: light skin tone
✋🏼,270B 1F3FC                                             ,fully-qualified,raised hand: medium-light skin tone
✋🏽,270B 1F3FD                                             ,fully-qualified,raised hand: medium skin tone
✋🏾,270B 1F3FE                                             ,fully-qualified,raised hand: medium-dark skin tone
✋🏿,270B 1F3FF                                             ,fully-qualified,raised hand: dark skin tone
🖖,1F596                                                  ,fully-qualified,vulcan salute
🖖🏻,1F596 1F3FB                                            ,fully-qualified,vulcan salute: light skin tone
🖖🏼,1F596 1F3FC                                            ,fully-qualified,vulcan salute: medium-light skin tone
🖖🏽,1F596 1F3FD                                            ,fully-qualified,vulcan salute: medium skin tone
🖖🏾,1F596 1F3FE                                            ,fully-qualified,vulcan salute: medium-dark skin tone
🖖🏿,1F596 1F3FF                                            ,fully-qualified,vulcan salute: dark skin tone
🫱,1FAF1                                                  ,fully-qualified,rightwards hand
🫱🏻,1FAF1 1F3FB                                            ,fully-qualified,rightwards hand: light skin tone
🫱🏼,1FAF1 1F3FC                                            ,fully-qualified,rightwards hand: medium-light skin tone
🫱🏽,1FAF1 1F3FD                                            ,fully-qualified,rightwards hand: medium skin tone
🫱🏾,1FAF1 1F3FE                                            ,fully-qualified,rightwards hand: medium-dark skin tone
🫱🏿,1FAF1 1F3FF                                            ,fully-qualified,rightwards hand: dark skin tone
🫲,1FAF2                                                  ,fully-qualified,leftwards hand
🫲🏻,1FAF2 1F3FB                                            ,fully-qualified,leftwards hand: light skin tone
🫲🏼,1FAF2 1F3FC                                            ,fully-qualified,leftwards hand: medium-light skin tone
🫲🏽,1FAF2 1F3FD                                            ,fully-qualified,leftwards hand: medium skin tone
🫲🏾,1FAF2 1F3FE                                            ,fully-qualified,leftwards hand: medium-dark skin tone
🫲🏿,1FAF2 1F3FF                                            ,fully-qualified,leftwards hand: dark skin tone
🫳,1FAF3                                                  ,fully-qualified,palm down hand
🫳🏻,1FAF3 1F3FB                                            ,fully-qualified,palm down hand: light skin tone
🫳🏼,1FAF3 1F3FC                                            ,fully-qualified,palm down hand: medium-light skin tone
🫳🏽,1FAF3 1F3FD                                            ,fully-qualified,palm down hand: medium skin tone
🫳🏾,1FAF3 1F3FE                                            ,fully-qualified,palm down hand: medium-dark skin tone
🫳🏿,1FAF3 1F3FF                                            ,fully-qualified,palm down hand: dark skin tone
🫴,1FAF4                                                  ,fully-qualified,palm up hand
🫴🏻,1FAF4 1F3FB                                            ,fully-qualified,palm up hand: light skin tone
🫴🏼,1FAF4 1F3FC                                            ,fully-qualified,palm up hand: medium-light skin tone
🫴🏽,1FAF4 1F3FD                                            ,fully-qualified,palm up hand: medium skin tone
🫴🏾,1FAF4 1F3FE                                            ,fully-qualified,palm up hand: medium-dark skin tone
🫴🏿,1FAF4 1F3FF                                            ,fully-qualified,palm up hand: dark skin tone
🫷,1FAF7                                                  ,fully-qualified,leftwards pushing hand
🫷🏻,1FAF7 1F3FB                                            ,fully-qualified,leftwards pushing hand: light skin tone
🫷🏼,1FAF7 1F3FC                                            ,fully-qualified,leftwards pushing hand: medium-light skin tone
🫷🏽,1FAF7 1F3FD                                            ,fully-qualified,leftwards pushing hand: medium skin tone
🫷🏾,1FAF7 1F3FE                                            ,fully-qualified,leftwards pushing hand: medium-dark skin tone
🫷🏿,1FAF7 1F3FF                                            ,fully-qualified,leftwards pushing hand: dark skin tone
🫸,1FAF8                                                  ,fully-qualified,rightwards pushing hand
🫸🏻,1FAF8 1F3FB                                            ,fully-qualified,rightwards pushing hand: light skin tone
🫸🏼,1FAF8 1F3FC                                            ,fully-qualified,rightwards pushing hand: medium-light skin tone
🫸🏽,1FAF8 1F3FD                                            ,fully-qualified,rightwards pushing hand: medium skin tone
🫸🏾,1FAF8 1F3FE                                            ,fully-qualified,rightwards pushing hand: medium-dark skin tone
🫸🏿,1FAF8 1F3FF                                            ,fully-qualified,rightwards pushing hand: dark skin tone
👌,1F44C                                                  ,fully-qualified,OK hand
👌🏻,1F44C 1F3FB                                            ,fully-qualified,OK hand: light skin tone
👌🏼,1F44C 1F3FC                                            ,fully-qualified,OK hand: medium-light skin tone
👌🏽,1F44C 1F3FD                                            ,fully-qualified,OK hand: medium skin tone
👌🏾,1F44C 1F3FE                                            ,fully-qualified,OK hand: medium-dark skin tone
👌🏿,1F44C 1F3FF                                            ,fully-qualified,OK hand: dark skin tone
🤌,1F90C                                                  ,fully-qualified,pinched fingers
🤌🏻,1F90C 1F3FB                                            ,fully-qualified,pinched fingers: light skin tone
🤌🏼,1F90C 1F3FC                                            ,fully-qualified,pinched fingers: medium-light skin tone
🤌🏽,1F90C 1F3FD                                            ,fully-qualified,pinched fingers: medium skin tone
🤌🏾,1F90C 1F3FE                                            ,fully-qualified,pinched fingers: medium-dark skin tone
🤌🏿,1F90C 1F3FF                                            ,fully-qualified,pinched fingers: dark skin tone
🤏,1F90F                                                  ,fully-qualified,pinching hand
🤏🏻,1F90F 1F3FB                                            ,fully-qualified,pinching hand: light skin tone
🤏🏼,1F90F 1F3FC                                            ,fully-qualified,pinching hand: medium-light skin tone
🤏🏽,1F90F 1F3FD                                            ,fully-qualified,pinching hand: medium skin tone
🤏🏾,1F90F 1F3FE                                            ,fully-qualified,pinching hand: medium-dark skin tone
🤏🏿,1F90F 1F3FF                                            ,fully-qualified,pinching hand: dark skin tone
✌️,270C FE0F                                              ,fully-qualified,victory hand
✌,270C                                                   ,unqualified,victory hand
✌🏻,270C 1F3FB                                             ,fully-qualified,victory hand: light skin tone
✌🏼,270C 1F3FC                                             ,fully-qualified,victory hand: medium-light skin tone
✌🏽,270C 1F3FD                                             ,fully-qualified,victory hand: medium skin tone
✌🏾,270C 1F3FE                                             ,fully-qualified,victory hand: medium-dark skin tone
✌🏿,270C 1F3FF                                             ,fully-qualified,victory hand: dark skin tone
🤞,1F91E                                                  ,fully-qualified,crossed fingers
🤞🏻,1F91E 1F3FB                                            ,fully-qualified,crossed fingers: light skin tone
🤞🏼,1F91E 1F3FC                                            ,fully-qualified,crossed fingers: medium-light skin tone
🤞🏽,1F91E 1F3FD                                            ,fully-qualified,crossed fingers: medium skin tone
🤞🏾,1F91E 1F3FE                                            ,fully-qualified,crossed fingers: medium-dark skin tone
🤞🏿,1F91E 1F3FF                                            ,fully-qualified,crossed fingers: dark skin tone
🫰,1FAF0                                                  ,fully-qualified,hand with index finger and thumb crossed
🫰🏻,1FAF0 1F3FB                                            ,fully-qualified,hand with index finger and thumb crossed: light skin tone
🫰🏼,1FAF0 1F3FC                                            ,fully-qualified,hand with index finger and thumb crossed: medium-light skin tone
🫰🏽,1FAF0 1F3FD                                            ,fully-qualified,hand with index finger and thumb crossed: medium skin tone
🫰🏾,1FAF0 1F3FE                                            ,fully-qualified,hand with index finger and thumb crossed: medium-dark skin tone
🫰🏿,1FAF0 1F3FF                                            ,fully-qualified,hand with index finger and thumb crossed: dark skin tone
🤟,1F91F                                                  ,fully-qualified,love-you gesture
🤟🏻,1F91F 1F3FB                                            ,fully-qualified,love-you gesture: light skin tone
🤟🏼,1F91F 1F3FC                                            ,fully-qualified,love-you gesture: medium-light skin tone
🤟🏽,1F91F 1F3FD                                            ,fully-qualified,love-you gesture: medium skin tone
🤟🏾,1F91F 1F3FE                                            ,fully-qualified,love-you gesture: medium-dark skin tone
🤟🏿,1F91F 1F3FF                                            ,fully-qualified,love-you gesture: dark skin tone
🤘,1F918                                                  ,fully-qualified,sign of the horns
🤘🏻,1F918 1F3FB                                            ,fully-qualified,sign of the horns: light skin tone
🤘🏼,1F918 1F3FC                                            ,fully-qualified,sign of the horns: medium-light skin tone
🤘🏽,1F918 1F3FD                                            ,fully-qualified,sign of the horns: medium skin tone
🤘🏾,1F918 1F3FE                                            ,fully-qualified,sign of the horns: medium-dark skin tone
🤘🏿,1F918 1F3FF                                            ,fully-qualified,sign of the horns: dark skin tone
🤙,1F919                                                  ,fully-qualified,call me hand
🤙🏻,1F919 1F3FB                                            ,fully-qualified,call me hand: light skin tone
🤙🏼,1F919 1F3FC                                            ,fully-qualified,call me hand: medium-light skin tone
🤙🏽,1F919 1F3FD                                            ,fully-qualified,call me hand: medium skin tone
🤙🏾,1F919 1F3FE                                            ,fully-qualified,call me hand: medium-dark skin tone
🤙🏿,1F919 1F3FF                                            ,fully-qualified,call me hand: dark skin tone
👈,1F448                                                  ,fully-qualified,backhand index pointing left
👈🏻,1F448 1F3FB                                            ,fully-qualified,backhand index pointing left: light skin tone
👈🏼,1F448 1F3FC                                            ,fully-qualified,backhand index pointing left: medium-light skin tone
👈🏽,1F448 1F3FD                                            ,fully-qualified,backhand index pointing left: medium skin tone
👈🏾,1F448 1F3FE                                            ,fully-qualified,backhand index pointing left: medium-dark skin tone
👈🏿,1F448 1F3FF                                            ,fully-qualified,backhand index pointing left: dark skin tone
👉,1F449                                                  ,fully-qualified,backhand index pointing right
👉🏻,1F449 1F3FB                                            ,fully-qualified,backhand index pointing right: light skin tone
👉🏼,1F449 1F3FC                                            ,fully-qualified,backhand index pointing right: medium-light skin tone
👉🏽,1F449 1F3FD                                            ,fully-qualified,backhand index pointing right: medium skin tone
👉🏾,1F449 1F3FE                                            ,fully-qualified,backhand index pointing right: medium-dark skin tone
👉🏿,1F449 1F3FF                                            ,fully-qualified,backhand index pointing right: dark skin tone
👆,1F446                                                  ,fully-qualified,backhand index pointing up
👆🏻,1F446 1F3FB                                            ,fully-qualified,backhand index pointing up: light skin tone
👆🏼,1F446 1F3FC                                            ,fully-qualified,backhand index pointing up: medium-light skin tone
👆🏽,1F446 1F3FD                                            ,fully-qualified,backhand index pointing up: medium skin tone
👆🏾,1F446 1F3FE                                            ,fully-qualified,backhand index pointing up: medium-dark skin tone
👆🏿,1F446 1F3FF                                            ,fully-qualified,backhand index pointing up: dark skin tone
🖕,1F595                                                  ,fully-qualified,middle finger
🖕🏻,1F595 1F3FB                                            ,fully-qualified,middle finger: light skin tone
🖕🏼,1F595 1F3FC                                            ,fully-qualified,middle finger: medium-light skin tone
🖕🏽,1F595 1F3FD                                            ,fully-qualified,middle finger: medium skin tone
🖕🏾,1F595 1F3FE                                            ,fully-qualified,middle finger: medium-dark skin tone
🖕🏿,1F595 1F3FF                                            ,fully-qualified,middle finger: dark skin tone
👇,1F447                                                  ,fully-qualified,backhand index pointing down
👇🏻,1F447 1F3FB                                            ,fully-qualified,backhand index pointing down: light skin tone
👇🏼,1F447 1F3FC                                            ,fully-qualified,backhand index pointing down: medium-light skin tone
👇🏽,1F447 1F3FD                                            ,fully-qualified,backhand index pointing down: medium skin tone
👇🏾,1F447 1F3FE                                            ,fully-qualified,backhand index pointing down: medium-dark skin tone
👇🏿,1F447 1F3FF                                            ,fully-qualified,backhand index pointing down: dark skin tone
☝️,261D FE0F                                              ,fully-qualified,index pointing up
☝,261D                                                   ,unqualified,index pointing up
☝🏻,261D 1F3FB                                             ,fully-qualified,index pointing up: light skin tone
☝🏼,261D 1F3FC                                             ,fully-qualified,index pointing up: medium-light skin tone
☝🏽,261D 1F3FD                                             ,fully-qualified,index pointing up: medium skin tone
☝🏾,261D 1F3FE                                             ,fully-qualified,index pointing up: medium-dark skin tone
☝🏿,261D 1F3FF                                             ,fully-qualified,index pointing up: dark skin tone
🫵,1FAF5                                                  ,fully-qualified,index pointing at the viewer
🫵🏻,1FAF5 1F3FB                                            ,fully-qualified,index pointing at the viewer: light skin tone
🫵🏼,1FAF5 1F3FC                                            ,fully-qualified,index pointing at the viewer: medium-light skin tone
🫵🏽,1FAF5 1F3FD                                            ,fully-qualified,index pointing at the viewer: medium skin tone
🫵🏾,1FAF5 1F3FE                                            ,fully-qualified,index pointing at the viewer: medium-dark skin tone
🫵🏿,1FAF5 1F3FF                                            ,fully-qualified,index pointing at the viewer: dark skin tone
👍,1F44D                                                  ,fully-qualified,thumbs up
👍🏻,1F44D 1F3FB                                            ,fully-qualified,thumbs up: light skin tone
👍🏼,1F44D 1F3FC                                            ,fully-qualified,thumbs up: medium-light skin tone
👍🏽,1F44D 1F3FD                                            ,fully-qualified,thumbs up: medium skin tone
👍🏾,1F44D 1F3FE                                            ,fully-qualified,thumbs up: medium-dark skin tone
👍🏿,1F44D 1F3FF                                            ,fully-qualified,thumbs up: dark skin tone
👎,1F44E                                                  ,fully-qualified,thumbs down
👎🏻,1F44E 1F3FB                                            ,fully-qualified,thumbs down: light skin tone
👎🏼,1F44E 1F3FC                                            ,fully-qualified,thumbs down: medium-light skin tone
👎🏽,1F44E 1F3FD                                            ,fully-qualified,thumbs down: medium skin tone
👎🏾,1F44E 1F3FE                                            ,fully-qualified,thumbs down: medium-dark skin tone
👎🏿,1F44E 1F3FF                                            ,fully-qualified,thumbs down: dark skin tone
✊,270A                                                   ,fully-qualified,raised fist
✊🏻,270A 1F3FB                                             ,fully-qualified,raised fist: light skin tone
✊🏼,270A 1F3FC                                             ,fully-qualified,raised fist: medium-light skin tone
✊🏽,270A 1F3FD                                             ,fully-qualified,raised fist: medium skin tone
✊🏾,270A 1F3FE                                             ,fully-qualified,raised fist: medium-dark skin tone
✊🏿,270A 1F3FF                                             ,fully-qualified,raised fist: dark skin tone
👊,1F44A                                                  ,fully-qualified,oncoming fist
👊🏻,1F44A 1F3FB                                            ,fully-qualified,oncoming fist: light skin tone
👊🏼,1F44A 1F3FC                                            ,fully-qualified,oncoming fist: medium-light skin tone
👊🏽,1F44A 1F3FD                                            ,fully-qualified,oncoming fist: medium skin tone
👊🏾,1F44A 1F3FE                                            ,fully-qualified,oncoming fist: medium-dark skin tone
👊🏿,1F44A 1F3FF                                            ,fully-qualified,oncoming fist: dark skin tone
🤛,1F91B                                                  ,fully-qualified,left-facing fist
🤛🏻,1F91B 1F3FB                                            ,fully-qualified,left-facing fist: light skin tone
🤛🏼,1F91B 1F3FC                                            ,fully-qualified,left-facing fist: medium-light skin tone
🤛🏽,1F91B 1F3FD                                            ,fully-qualified,left-facing fist: medium skin tone
🤛🏾,1F91B 1F3FE                                            ,fully-qualified,left-facing fist: medium-dark skin tone
🤛🏿,1F91B 1F3FF                                            ,fully-qualified,left-facing fist: dark skin tone
🤜,1F91C                                                  ,fully-qualified,right-facing fist
🤜🏻,1F91C 1F3FB                                            ,fully-qualified,right-facing fist: light skin tone
🤜🏼,1F91C 1F3FC                                            ,fully-qualified,right-facing fist: medium-light skin tone
🤜🏽,1F91C 1F3FD                                            ,fully-qualified,right-facing fist: medium skin tone
🤜🏾,1F91C 1F3FE                                            ,fully-qualified,right-facing fist: medium-dark skin tone
🤜🏿,1F91C 1F3FF                                            ,fully-qualified,right-facing fist: dark skin tone
👏,1F44F                                                  ,fully-qualified,clapping hands
👏🏻,1F44F 1F3FB                                            ,fully-qualified,clapping hands: light skin tone
👏🏼,1F44F 1F3FC                                            ,fully-qualified,clapping hands: medium-light skin tone
👏🏽,1F44F 1F3FD                                            ,fully-qualified,clapping hands: medium skin tone
👏🏾,1F44F 1F3FE                                            ,fully-qualified,clapping hands: medium-dark skin tone
👏🏿,1F44F 1F3FF                                            ,fully-qualified,clapping hands: dark skin tone
🙌,1F64C                                                  ,fully-qualified,raising hands
🙌🏻,1F64C 1F3FB                                            ,fully-qualified,raising hands: light skin tone
🙌🏼,1F64C 1F3FC                                            ,fully-qualified,raising hands: medium-light skin tone
🙌🏽,1F64C 1F3FD                                            ,fully-qualified,raising hands: medium skin tone
🙌🏾,1F64C 1F3FE                                            ,fully-qualified,raising hands: medium-dark skin tone
🙌🏿,1F64C 1F3FF                                            ,fully-qualified,raising hands: dark skin tone
🫶,1FAF6                                                  ,fully-qualified,heart hands
🫶🏻,1FAF6 1F3FB                                            ,fully-qualified,heart hands: light skin tone
🫶🏼,1FAF6 1F3FC                                            ,fully-qualified,heart hands: medium-light skin tone
🫶🏽,1FAF6 1F3FD                                            ,fully-qualified,heart hands: medium skin tone
🫶🏾,1FAF6 1F3FE                                            ,fully-qualified,heart hands: medium-dark skin tone
