emoji,code_points,category,description
🇳🇿,1F1F3 1F1FF   ,RGI_Emoji_Flag_Sequence,flag: New Zealand
🇴🇲,1F1F4 1F1F2   ,RGI_Emoji_Flag_Sequence,flag: Oman
🇵🇦,1F1F5 1F1E6   ,RGI_Emoji_Flag_Sequence,flag: Panama
🇵🇪,1F1F5 1F1EA   ,RGI_Emoji_Flag_Sequence,flag: Peru
🇵🇫,1F1F5 1F1EB   ,RGI_Emoji_Flag_Sequence,flag: French Polynesia
🇵🇬,1F1F5 1F1EC   ,RGI_Emoji_Flag_Sequence,flag: Papua New Guinea
🇵🇭,1F1F5 1F1ED   ,RGI_Emoji_Flag_Sequence,flag: Philippines
🇵🇰,1F1F5 1F1F0   ,RGI_Emoji_Flag_Sequence,flag: Pakistan
🇵🇱,1F1F5 1F1F1   ,RGI_Emoji_Flag_Sequence,flag: Poland
🇵🇲,1F1F5 1F1F2   ,RGI_Emoji_Flag_Sequence,flag: St. Pierre & Miquelon
🇵🇳,1F1F5 1F1F3   ,RGI_Emoji_Flag_Sequence,flag: Pitcairn Islands
🇵🇷,1F1F5 1F1F7   ,RGI_Emoji_Flag_Sequence,flag: Puerto Rico
🇵🇸,1F1F5 1F1F8   ,RGI_Emoji_Flag_Sequence,flag: Palestinian Territories
🇵🇹,1F1F5 1F1F9   ,RGI_Emoji_Flag_Sequence,flag: Portugal
🇵🇼,1F1F5 1F1FC   ,RGI_Emoji_Flag_Sequence,flag: Palau
🇵🇾,1F1F5 1F1FE   ,RGI_Emoji_Flag_Sequence,flag: Paraguay
🇶🇦,1F1F6 1F1E6   ,RGI_Emoji_Flag_Sequence,flag: Qatar
🇷🇪,1F1F7 1F1EA   ,RGI_Emoji_Flag_Sequence,flag: Réunion
🇷🇴,1F1F7 1F1F4   ,RGI_Emoji_Flag_Sequence,flag: Romania
🇷🇸,1F1F7 1F1F8   ,RGI_Emoji_Flag_Sequence,flag: Serbia
🇷🇺,1F1F7 1F1FA   ,RGI_Emoji_Flag_Sequence,flag: Russia
🇷🇼,1F1F7 1F1FC   ,RGI_Emoji_Flag_Sequence,flag: Rwanda
🇸🇦,1F1F8 1F1E6   ,RGI_Emoji_Flag_Sequence,flag: Saudi Arabia
🇸🇧,1F1F8 1F1E7   ,RGI_Emoji_Flag_Sequence,flag: Solomon Islands
🇸🇨,1F1F8 1F1E8   ,RGI_Emoji_Flag_Sequence,flag: Seychelles
🇸🇩,1F1F8 1F1E9   ,RGI_Emoji_Flag_Sequence,flag: Sudan
🇸🇪,1F1F8 1F1EA   ,RGI_Emoji_Flag_Sequence,flag: Sweden
🇸🇬,1F1F8 1F1EC   ,RGI_Emoji_Flag_Sequence,flag: Singapore
🇸🇭,1F1F8 1F1ED   ,RGI_Emoji_Flag_Sequence,flag: St. Helena
🇸🇮,1F1F8 1F1EE   ,RGI_Emoji_Flag_Sequence,flag: Slovenia
🇸🇯,1F1F8 1F1EF   ,RGI_Emoji_Flag_Sequence,flag: Svalbard & Jan Mayen
🇸🇰,1F1F8 1F1F0   ,RGI_Emoji_Flag_Sequence,flag: Slovakia
🇸🇱,1F1F8 1F1F1   ,RGI_Emoji_Flag_Sequence,flag: Sierra Leone
🇸🇲,1F1F8 1F1F2   ,RGI_Emoji_Flag_Sequence,flag: San Marino
🇸🇳,1F1F8 1F1F3   ,RGI_Emoji_Flag_Sequence,flag: Senegal
🇸🇴,1F1F8 1F1F4   ,RGI_Emoji_Flag_Sequence,flag: Somalia
🇸🇷,1F1F8 1F1F7   ,RGI_Emoji_Flag_Sequence,flag: Suriname
🇸🇸,1F1F8 1F1F8   ,RGI_Emoji_Flag_Sequence,flag: South Sudan
🇸🇹,1F1F8 1F1F9   ,RGI_Emoji_Flag_Sequence,flag: São Tomé & Príncipe
🇸🇻,1F1F8 1F1FB   ,RGI_Emoji_Flag_Sequence,flag: El Salvador
🇸🇽,1F1F8 1F1FD   ,RGI_Emoji_Flag_Sequence,flag: Sint Maarten
🇸🇾,1F1F8 1F1FE   ,RGI_Emoji_Flag_Sequence,flag: Syria
🇸🇿,1F1F8 1F1FF   ,RGI_Emoji_Flag_Sequence,flag: Eswatini
🇹🇦,1F1F9 1F1E6   ,RGI_Emoji_Flag_Sequence,flag: Tristan da Cunha
🇹🇨,1F1F9 1F1E8   ,RGI_Emoji_Flag_Sequence,flag: Turks & Caicos Islands
🇹🇩,1F1F9 1F1E9   ,RGI_Emoji_Flag_Sequence,flag: Chad
🇹🇫,1F1F9 1F1EB   ,RGI_Emoji_Flag_Sequence,flag: French Southern Territories
🇹🇬,1F1F9 1F1EC   ,RGI_Emoji_Flag_Sequence,flag: Togo
🇹🇭,1F1F9 1F1ED   ,RGI_Emoji_Flag_Sequence,flag: Thailand
🇹🇯,1F1F9 1F1EF   ,RGI_Emoji_Flag_Sequence,flag: Tajikistan
🇹🇰,1F1F9 1F1F0   ,RGI_Emoji_Flag_Sequence,flag: Tokelau
🇹🇱,1F1F9 1F1F1   ,RGI_Emoji_Flag_Sequence,flag: Timor-Leste
🇹🇲,1F1F9 1F1F2   ,RGI_Emoji_Flag_Sequence,flag: Turkmenistan
🇹🇳,1F1F9 1F1F3   ,RGI_Emoji_Flag_Sequence,flag: Tunisia
🇹🇴,1F1F9 1F1F4   ,RGI_Emoji_Flag_Sequence,flag: Tonga
🇹🇷,1F1F9 1F1F7   ,RGI_Emoji_Flag_Sequence,flag: Türkiye
🇹🇹,1F1F9 1F1F9   ,RGI_Emoji_Flag_Sequence,flag: Trinidad & Tobago
🇹🇻,1F1F9 1F1FB   ,RGI_Emoji_Flag_Sequence,flag: Tuvalu
🇹🇼,1F1F9 1F1FC   ,RGI_Emoji_Flag_Sequence,flag: Taiwan
🇹🇿,1F1F9 1F1FF   ,RGI_Emoji_Flag_Sequence,flag: Tanzania
🇺🇦,1F1FA 1F1E6   ,RGI_Emoji_Flag_Sequence,flag: Ukraine
🇺🇬,1F1FA 1F1EC   ,RGI_Emoji_Flag_Sequence,flag: Uganda
🇺🇲,1F1FA 1F1F2   ,RGI_Emoji_Flag_Sequence,flag: U.S. Outlying Islands
🇺🇳,1F1FA 1F1F3   ,RGI_Emoji_Flag_Sequence,flag: United Nations
🇺🇸,1F1FA 1F1F8   ,RGI_Emoji_Flag_Sequence,flag: United States
🇺🇾,1F1FA 1F1FE   ,RGI_Emoji_Flag_Sequence,flag: Uruguay
🇺🇿,1F1FA 1F1FF   ,RGI_Emoji_Flag_Sequence,flag: Uzbekistan
🇻🇦,1F1FB 1F1E6   ,RGI_Emoji_Flag_Sequence,flag: Vatican City
🇻🇨,1F1FB 1F1E8   ,RGI_Emoji_Flag_Sequence,flag: St. Vincent & Grenadines
🇻🇪,1F1FB 1F1EA   ,RGI_Emoji_Flag_Sequence,flag: Venezuela
🇻🇬,1F1FB 1F1EC   ,RGI_Emoji_Flag_Sequence,flag: British Virgin Islands
🇻🇮,1F1FB 1F1EE   ,RGI_Emoji_Flag_Sequence,flag: U.S. Virgin Islands
🇻🇳,1F1FB 1F1F3   ,RGI_Emoji_Flag_Sequence,flag: Vietnam
🇻🇺,1F1FB 1F1FA   ,RGI_Emoji_Flag_Sequence,flag: Vanuatu
🇼🇫,1F1FC 1F1EB   ,RGI_Emoji_Flag_Sequence,flag: Wallis & Futuna
🇼🇸,1F1FC 1F1F8   ,RGI_Emoji_Flag_Sequence,flag: Samoa
🇽🇰,1F1FD 1F1F0   ,RGI_Emoji_Flag_Sequence,flag: Kosovo
🇾🇪,1F1FE 1F1EA   ,RGI_Emoji_Flag_Sequence,flag: Yemen
🇾🇹,1F1FE 1F1F9   ,RGI_Emoji_Flag_Sequence,flag: Mayotte
🇿🇦,1F1FF 1F1E6   ,RGI_Emoji_Flag_Sequence,flag: South Africa
🇿🇲,1F1FF 1F1F2   ,RGI_Emoji_Flag_Sequence,flag: Zambia
🇿🇼,1F1FF 1F1FC   ,RGI_Emoji_Flag_Sequence,flag: Zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿,1F3F4 E0067 E0062 E0065 E006E E0067 E007F,RGI_Emoji_Tag_Sequence,flag: England
🏴󠁧󠁢󠁳󠁣󠁴󠁿,1F3F4 E0067 E0062 E0073 E0063 E0074 E007F,RGI_Emoji_Tag_Sequence,flag: Scotland
🏴󠁧󠁢󠁷󠁬󠁳󠁿,1F3F4 E0067 E0062 E0077 E006C E0073 E007F,RGI_Emoji_Tag_Sequence,flag: Wales
☝🏻,261D 1F3FB    ,RGI_Emoji_Modifier_Sequence,index pointing up: light skin tone
☝🏼,261D 1F3FC    ,RGI_Emoji_Modifier_Sequence,index pointing up: medium-light skin tone
☝🏽,261D 1F3FD    ,RGI_Emoji_Modifier_Sequence,index pointing up: medium skin tone
☝🏾,261D 1F3FE    ,RGI_Emoji_Modifier_Sequence,index pointing up: medium-dark skin tone
☝🏿,261D 1F3FF    ,RGI_Emoji_Modifier_Sequence,index pointing up: dark skin tone
⛹🏻,26F9 1F3FB    ,RGI_Emoji_Modifier_Sequence,person bouncing ball: light skin tone
⛹🏼,26F9 1F3FC    ,RGI_Emoji_Modifier_Sequence,person bouncing ball: medium-light skin tone
⛹🏽,26F9 1F3FD    ,RGI_Emoji_Modifier_Sequence,person bouncing ball: medium skin tone
⛹🏾,26F9 1F3FE    ,RGI_Emoji_Modifier_Sequence,person bouncing ball: medium-dark skin tone
⛹🏿,26F9 1F3FF    ,RGI_Emoji_Modifier_Sequence,person bouncing ball: dark skin tone
✊🏻,270A 1F3FB    ,RGI_Emoji_Modifier_Sequence,raised fist: light skin tone
✊🏼,270A 1F3FC    ,RGI_Emoji_Modifier_Sequence,raised fist: medium-light skin tone
✊🏽,270A 1F3FD    ,RGI_Emoji_Modifier_Sequence,raised fist: medium skin tone
✊🏾,270A 1F3FE    ,RGI_Emoji_Modifier_Sequence,raised fist: medium-dark skin tone
✊🏿,270A 1F3FF    ,RGI_Emoji_Modifier_Sequence,raised fist: dark skin tone
✋🏻,270B 1F3FB    ,RGI_Emoji_Modifier_Sequence,raised hand: light skin tone
✋🏼,270B 1F3FC    ,RGI_Emoji_Modifier_Sequence,raised hand: medium-light skin tone
✋🏽,270B 1F3FD    ,RGI_Emoji_Modifier_Sequence,raised hand: medium skin tone
✋🏾,270B 1F3FE    ,RGI_Emoji_Modifier_Sequence,raised hand: medium-dark skin tone
✋🏿,270B 1F3FF    ,RGI_Emoji_Modifier_Sequence,raised hand: dark skin tone
✌🏻,270C 1F3FB    ,RGI_Emoji_Modifier_Sequence,victory hand: light skin tone
✌🏼,270C 1F3FC    ,RGI_Emoji_Modifier_Sequence,victory hand: medium-light skin tone
✌🏽,270C 1F3FD    ,RGI_Emoji_Modifier_Sequence,victory hand: medium skin tone
✌🏾,270C 1F3FE    ,RGI_Emoji_Modifier_Sequence,victory hand: medium-dark skin tone
✌🏿,270C 1F3FF    ,RGI_Emoji_Modifier_Sequence,victory hand: dark skin tone
✍🏻,270D 1F3FB    ,RGI_Emoji_Modifier_Sequence,writing hand: light skin tone
✍🏼,270D 1F3FC    ,RGI_Emoji_Modifier_Sequence,writing hand: medium-light skin tone
✍🏽,270D 1F3FD    ,RGI_Emoji_Modifier_Sequence,writing hand: medium skin tone
✍🏾,270D 1F3FE    ,RGI_Emoji_Modifier_Sequence,writing hand: medium-dark skin tone
✍🏿,270D 1F3FF    ,RGI_Emoji_Modifier_Sequence,writing hand: dark skin tone
🎅🏻,1F385 1F3FB   ,RGI_Emoji_Modifier_Sequence,Santa Claus: light skin tone
🎅🏼,1F385 1F3FC   ,RGI_Emoji_Modifier_Sequence,Santa Claus: medium-light skin tone
🎅🏽,1F385 1F3FD   ,RGI_Emoji_Modifier_Sequence,Santa Claus: medium skin tone
🎅🏾,1F385 1F3FE   ,RGI_Emoji_Modifier_Sequence,Santa Claus: medium-dark skin tone
🎅🏿,1F385 1F3FF   ,RGI_Emoji_Modifier_Sequence,Santa Claus: dark skin tone
🏂🏻,1F3C2 1F3FB   ,RGI_Emoji_Modifier_Sequence,snowboarder: light skin tone
🏂🏼,1F3C2 1F3FC   ,RGI_Emoji_Modifier_Sequence,snowboarder: medium-light skin tone
🏂🏽,1F3C2 1F3FD   ,RGI_Emoji_Modifier_Sequence,snowboarder: medium skin tone
🏂🏾,1F3C2 1F3FE   ,RGI_Emoji_Modifier_Sequence,snowboarder: medium-dark skin tone
🏂🏿,1F3C2 1F3FF   ,RGI_Emoji_Modifier_Sequence,snowboarder: dark skin tone
🏃🏻,1F3C3 1F3FB   ,RGI_Emoji_Modifier_Sequence,person running: light skin tone
🏃🏼,1F3C3 1F3FC   ,RGI_Emoji_Modifier_Sequence,person running: medium-light skin tone
🏃🏽,1F3C3 1F3FD   ,RGI_Emoji_Modifier_Sequence,person running: medium skin tone
🏃🏾,1F3C3 1F3FE   ,RGI_Emoji_Modifier_Sequence,person running: medium-dark skin tone
🏃🏿,1F3C3 1F3FF   ,RGI_Emoji_Modifier_Sequence,person running: dark skin tone
🏄🏻,1F3C4 1F3FB   ,RGI_Emoji_Modifier_Sequence,person surfing: light skin tone
🏄🏼,1F3C4 1F3FC   ,RGI_Emoji_Modifier_Sequence,person surfing: medium-light skin tone
🏄🏽,1F3C4 1F3FD   ,RGI_Emoji_Modifier_Sequence,person surfing: medium skin tone
🏄🏾,1F3C4 1F3FE   ,RGI_Emoji_Modifier_Sequence,person surfing: medium-dark skin tone
🏄🏿,1F3C4 1F3FF   ,RGI_Emoji_Modifier_Sequence,person surfing: dark skin tone
🏇🏻,1F3C7 1F3FB   ,RGI_Emoji_Modifier_Sequence,horse racing: light skin tone
🏇🏼,1F3C7 1F3FC   ,RGI_Emoji_Modifier_Sequence,horse racing: medium-light skin tone
🏇🏽,1F3C7 1F3FD   ,RGI_Emoji_Modifier_Sequence,horse racing: medium skin tone
🏇🏾,1F3C7 1F3FE   ,RGI_Emoji_Modifier_Sequence,horse racing: medium-dark skin tone
🏇🏿,1F3C7 1F3FF   ,RGI_Emoji_Modifier_Sequence,horse racing: dark skin tone
🏊🏻,1F3CA 1F3FB   ,RGI_Emoji_Modifier_Sequence,person swimming: light skin tone
🏊🏼,1F3CA 1F3FC   ,RGI_Emoji_Modifier_Sequence,person swimming: medium-light skin tone
🏊🏽,1F3CA 1F3FD   ,RGI_Emoji_Modifier_Sequence,person swimming: medium skin tone
🏊🏾,1F3CA 1F3FE   ,RGI_Emoji_Modifier_Sequence,person swimming: medium-dark skin tone
🏊🏿,1F3CA 1F3FF   ,RGI_Emoji_Modifier_Sequence,person swimming: dark skin tone
🏋🏻,1F3CB 1F3FB   ,RGI_Emoji_Modifier_Sequence,person lifting weights: light skin tone
🏋🏼,1F3CB 1F3FC   ,RGI_Emoji_Modifier_Sequence,person lifting weights: medium-light skin tone
🏋🏽,1F3CB 1F3FD   ,RGI_Emoji_Modifier_Sequence,person lifting weights: medium skin tone
🏋🏾,1F3CB 1F3FE   ,RGI_Emoji_Modifier_Sequence,person lifting weights: medium-dark skin tone
🏋🏿,1F3CB 1F3FF   ,RGI_Emoji_Modifier_Sequence,person lifting weights: dark skin tone
🏌🏻,1F3CC 1F3FB   ,RGI_Emoji_Modifier_Sequence,person golfing: light skin tone
🏌🏼,1F3CC 1F3FC   ,RGI_Emoji_Modifier_Sequence,person golfing: medium-light skin tone
🏌🏽,1F3CC 1F3FD   ,RGI_Emoji_Modifier_Sequence,person golfing: medium skin tone
🏌🏾,1F3CC 1F3FE   ,RGI_Emoji_Modifier_Sequence,person golfing: medium-dark skin tone
🏌🏿,1F3CC 1F3FF   ,RGI_Emoji_Modifier_Sequence,person golfing: dark skin tone
👂🏻,1F442 1F3FB   ,RGI_Emoji_Modifier_Sequence,ear: light skin tone
👂🏼,1F442 1F3FC   ,RGI_Emoji_Modifier_Sequence,ear: medium-light skin tone
👂🏽,1F442 1F3FD   ,RGI_Emoji_Modifier_Sequence,ear: medium skin tone
👂🏾,1F442 1F3FE   ,RGI_Emoji_Modifier_Sequence,ear: medium-dark skin tone
👂🏿,1F442 1F3FF   ,RGI_Emoji_Modifier_Sequence,ear: dark skin tone
👃🏻,1F443 1F3FB   ,RGI_Emoji_Modifier_Sequence,nose: light skin tone
👃🏼,1F443 1F3FC   ,RGI_Emoji_Modifier_Sequence,nose: medium-light skin tone
👃🏽,1F443 1F3FD   ,RGI_Emoji_Modifier_Sequence,nose: medium skin tone
👃🏾,1F443 1F3FE   ,RGI_Emoji_Modifier_Sequence,nose: medium-dark skin tone
👃🏿,1F443 1F3FF   ,RGI_Emoji_Modifier_Sequence,nose: dark skin tone
👆🏻,1F446 1F3FB   ,RGI_Emoji_Modifier_Sequence,backhand index pointing up: light skin tone
👆🏼,1F446 1F3FC   ,RGI_Emoji_Modifier_Sequence,backhand index pointing up: medium-light skin tone
👆🏽,1F446 1F3FD   ,RGI_Emoji_Modifier_Sequence,backhand index pointing up: medium skin tone
👆🏾,1F446 1F3FE   ,RGI_Emoji_Modifier_Sequence,backhand index pointing up: medium-dark skin tone
👆🏿,1F446 1F3FF   ,RGI_Emoji_Modifier_Sequence,backhand index pointing up: dark skin tone
👇🏻,1F447 1F3FB   ,RGI_Emoji_Modifier_Sequence,backhand index pointing down: light skin tone
👇🏼,1F447 1F3FC   ,RGI_Emoji_Modifier_Sequence,backhand index pointing down: medium-light skin tone
👇🏽,1F447 1F3FD   ,RGI_Emoji_Modifier_Sequence,backhand index pointing down: medium skin tone
👇🏾,1F447 1F3FE   ,RGI_Emoji_Modifier_Sequence,backhand index pointing down: medium-dark skin tone
👇🏿,1F447 1F3FF   ,RGI_Emoji_Modifier_Sequence,backhand index pointing down: dark skin tone
👈🏻,1F448 1F3FB   ,RGI_Emoji_Modifier_Sequence,backhand index pointing left: light skin tone
👈🏼,1F448 1F3FC   ,RGI_Emoji_Modifier_Sequence,backhand index pointing left: medium-light skin tone
👈🏽,1F448 1F3FD   ,RGI_Emoji_Modifier_Sequence,backhand index pointing left: medium skin tone
👈🏾,1F448 1F3FE   ,RGI_Emoji_Modifier_Sequence,backhand index pointing left: medium-dark skin tone
👈🏿,1F448 1F3FF   ,RGI_Emoji_Modifier_Sequence,backhand index pointing left: dark skin tone
👉🏻,1F449 1F3FB   ,RGI_Emoji_Modifier_Sequence,backhand index pointing right: light skin tone
👉🏼,1F449 1F3FC   ,RGI_Emoji_Modifier_Sequence,backhand index pointing right: medium-light skin tone
👉🏽,1F449 1F3FD   ,RGI_Emoji_Modifier_Sequence,backhand index pointing right: medium skin tone
👉🏾,1F449 1F3FE   ,RGI_Emoji_Modifier_Sequence,backhand index pointing right: medium-dark skin tone
👉🏿,1F449 1F3FF   ,RGI_Emoji_Modifier_Sequence,backhand index pointing right: dark skin tone
👊🏻,1F44A 1F3FB   ,RGI_Emoji_Modifier_Sequence,oncoming fist: light skin tone
👊🏼,1F44A 1F3FC   ,RGI_Emoji_Modifier_Sequence,oncoming fist: medium-light skin tone
👊🏽,1F44A 1F3FD   ,RGI_Emoji_Modifier_Sequence,oncoming fist: medium skin tone
👊🏾,1F44A 1F3FE   ,RGI_Emoji_Modifier_Sequence,oncoming fist: medium-dark skin tone
👊🏿,1F44A 1F3FF   ,RGI_Emoji_Modifier_Sequence,oncoming fist: dark skin tone
👋🏻,1F44B 1F3FB   ,RGI_Emoji_Modifier_Sequence,waving hand: light skin tone
👋🏼,1F44B 1F3FC   ,RGI_Emoji_Modifier_Sequence,waving hand: medium-light skin tone
👋🏽,1F44B 1F3FD   ,RGI_Emoji_Modifier_Sequence,waving hand: medium skin tone
👋🏾,1F44B 1F3FE   ,RGI_Emoji_Modifier_Sequence,waving hand: medium-dark skin tone
👋🏿,1F44B 1F3FF   ,RGI_Emoji_Modifier_Sequence,waving hand: dark skin tone
👌🏻,1F44C 1F3FB   ,RGI_Emoji_Modifier_Sequence,OK hand: light skin tone
👌🏼,1F44C 1F3FC   ,RGI_Emoji_Modifier_Sequence,OK hand: medium-light skin tone
👌🏽,1F44C 1F3FD   ,RGI_Emoji_Modifier_Sequence,OK hand: medium skin tone
👌🏾,1F44C 1F3FE   ,RGI_Emoji_Modifier_Sequence,OK hand: medium-dark skin tone
👌🏿,1F44C 1F3FF   ,RGI_Emoji_Modifier_Sequence,OK hand: dark skin tone
👍🏻,1F44D 1F3FB   ,RGI_Emoji_Modifier_Sequence,thumbs up: light skin tone
👍🏼,1F44D 1F3FC   ,RGI_Emoji_Modifier_Sequence,thumbs up: medium-light skin tone
👍🏽,1F44D 1F3FD   ,RGI_Emoji_Modifier_Sequence,thumbs up: medium skin tone
👍🏾,1F44D 1F3FE   ,RGI_Emoji_Modifier_Sequence,thumbs up: medium-dark skin tone
👍🏿,1F44D 1F3FF   ,RGI_Emoji_Modifier_Sequence,thumbs up: dark skin tone
👎🏻,1F44E 1F3FB   ,RGI_Emoji_Modifier_Sequence,thumbs down: light skin tone
👎🏼,1F44E 1F3FC   ,RGI_Emoji_Modifier_Sequence,thumbs down: medium-light skin tone
👎🏽,1F44E 1F3FD   ,RGI_Emoji_Modifier_Sequence,thumbs down: medium skin tone
👎🏾,1F44E 1F3FE   ,RGI_Emoji_Modifier_Sequence,thumbs down: medium-dark skin tone
👎🏿,1F44E 1F3FF   ,RGI_Emoji_Modifier_Sequence,thumbs down: dark skin tone
👏🏻,1F44F 1F3FB   ,RGI_Emoji_Modifier_Sequence,clapping hands: light skin tone
👏🏼,1F44F 1F3FC   ,RGI_Emoji_Modifier_Sequence,clapping hands: medium-light skin tone
👏🏽,1F44F 1F3FD   ,RGI_Emoji_Modifier_Sequence,clapping hands: medium skin tone
👏🏾,1F44F 1F3FE   ,RGI_Emoji_Modifier_Sequence,clapping hands: medium-dark skin tone
👏🏿,1F44F 1F3FF   ,RGI_Emoji_Modifier_Sequence,clapping hands: dark skin tone
👐🏻,1F450 1F3FB   ,RGI_Emoji_Modifier_Sequence,open hands: light skin tone
👐🏼,1F450 1F3FC   ,RGI_Emoji_Modifier_Sequence,open hands: medium-light skin tone
👐🏽,1F450 1F3FD   ,RGI_Emoji_Modifier_Sequence,open hands: medium skin tone
👐🏾,1F450 1F3FE   ,RGI_Emoji_Modifier_Sequence,open hands: medium-dark skin tone
👐🏿,1F450 1F3FF   ,RGI_Emoji_Modifier_Sequence,open hands: dark skin tone
👦🏻,1F466 1F3FB   ,RGI_Emoji_Modifier_Sequence,boy: light skin tone
👦🏼,1F466 1F3FC   ,RGI_Emoji_Modifier_Sequence,boy: medium-light skin tone
👦🏽,1F466 1F3FD   ,RGI_Emoji_Modifier_Sequence,boy: medium skin tone
👦🏾,1F466 1F3FE   ,RGI_Emoji_Modifier_Sequence,boy: medium-dark skin tone
👦🏿,1F466 1F3FF   ,RGI_Emoji_Modifier_Sequence,boy: dark skin tone
👧🏻,1F467 1F3FB   ,RGI_Emoji_Modifier_Sequence,girl: light skin tone
👧🏼,1F467 1F3FC   ,RGI_Emoji_Modifier_Sequence,girl: medium-light skin tone
👧🏽,1F467 1F3FD   ,RGI_Emoji_Modifier_Sequence,girl: medium skin tone
👧🏾,1F467 1F3FE   ,RGI_Emoji_Modifier_Sequence,girl: medium-dark skin tone
👧🏿,1F467 1F3FF   ,RGI_Emoji_Modifier_Sequence,girl: dark skin tone
👨🏻,1F468 1F3FB   ,RGI_Emoji_Modifier_Sequence,man: light skin tone
👨🏼,1F468 1F3FC   ,RGI_Emoji_Modifier_Sequence,man: medium-light skin tone
👨🏽,1F468 1F3FD   ,RGI_Emoji_Modifier_Sequence,man: medium skin tone
👨🏾,1F468 1F3FE   ,RGI_Emoji_Modifier_Sequence,man: medium-dark skin tone
👨🏿,1F468 1F3FF   ,RGI_Emoji_Modifier_Sequence,man: dark skin tone
👩🏻,1F469 1F3FB   ,RGI_Emoji_Modifier_Sequence,woman: light skin tone
👩🏼,1F469 1F3FC   ,RGI_Emoji_Modifier_Sequence,woman: medium-light skin tone
👩🏽,1F469 1F3FD   ,RGI_Emoji_Modifier_Sequence,woman: medium skin tone
👩🏾,1F469 1F3FE   ,RGI_Emoji_Modifier_Sequence,woman: medium-dark skin tone
👩🏿,1F469 1F3FF   ,RGI_Emoji_Modifier_Sequence,woman: dark skin tone
👫🏻,1F46B 1F3FB   ,RGI_Emoji_Modifier_Sequence,woman and man holding hands: light skin tone
👫🏼,1F46B 1F3FC   ,RGI_Emoji_Modifier_Sequence,woman and man holding hands: medium-light skin tone
👫🏽,1F46B 1F3FD   ,RGI_Emoji_Modifier_Sequence,woman and man holding hands: medium skin tone
👫🏾,1F46B 1F3FE   ,RGI_Emoji_Modifier_Sequence,woman and man holding hands: medium-dark skin tone
👫🏿,1F46B 1F3FF   ,RGI_Emoji_Modifier_Sequence,woman and man holding hands: dark skin tone
👬🏻,1F46C 1F3FB   ,RGI_Emoji_Modifier_Sequence,men holding hands: light skin tone
👬🏼,1F46C 1F3FC   ,RGI_Emoji_Modifier_Sequence,men holding hands: medium-light skin tone
👬🏽,1F46C 1F3FD   ,RGI_Emoji_Modifier_Sequence,men holding hands: medium skin tone
👬🏾,1F46C 1F3FE   ,RGI_Emoji_Modifier_Sequence,men holding hands: medium-dark skin tone
👬🏿,1F46C 1F3FF   ,RGI_Emoji_Modifier_Sequence,men holding hands: dark skin tone
👭🏻,1F46D 1F3FB   ,RGI_Emoji_Modifier_Sequence,women holding hands: light skin tone
👭🏼,1F46D 1F3FC   ,RGI_Emoji_Modifier_Sequence,women holding hands: medium-light skin tone
👭🏽,1F46D 1F3FD   ,RGI_Emoji_Modifier_Sequence,women holding hands: medium skin tone
👭🏾,1F46D 1F3FE   ,RGI_Emoji_Modifier_Sequence,women holding hands: medium-dark skin tone
👭🏿,1F46D 1F3FF   ,RGI_Emoji_Modifier_Sequence,women holding hands: dark skin tone
👮🏻,1F46E 1F3FB   ,RGI_Emoji_Modifier_Sequence,police officer: light skin tone
👮🏼,1F46E 1F3FC   ,RGI_Emoji_Modifier_Sequence,police officer: medium-light skin tone
👮🏽,1F46E 1F3FD   ,RGI_Emoji_Modifier_Sequence,police officer: medium skin tone
👮🏾,1F46E 1F3FE   ,RGI_Emoji_Modifier_Sequence,police officer: medium-dark skin tone
👮🏿,1F46E 1F3FF   ,RGI_Emoji_Modifier_Sequence,police officer: dark skin tone
👰🏻,1F470 1F3FB   ,RGI_Emoji_Modifier_Sequence,person with veil: light skin tone
👰🏼,1F470 1F3FC   ,RGI_Emoji_Modifier_Sequence,person with veil: medium-light skin tone
👰🏽,1F470 1F3FD   ,RGI_Emoji_Modifier_Sequence,person with veil: medium skin tone
👰🏾,1F470 1F3FE   ,RGI_Emoji_Modifier_Sequence,person with veil: medium-dark skin tone
👰🏿,1F470 1F3FF   ,RGI_Emoji_Modifier_Sequence,person with veil: dark skin tone
👱🏻,1F471 1F3FB   ,RGI_Emoji_Modifier_Sequence,"person: light skin tone, blond hair"
👱🏼,1F471 1F3FC   ,RGI_Emoji_Modifier_Sequence,"person: medium-light skin tone, blond hair"
👱🏽,1F471 1F3FD   ,RGI_Emoji_Modifier_Sequence,"person: medium skin tone, blond hair"
👱🏾,1F471 1F3FE   ,RGI_Emoji_Modifier_Sequence,"person: medium-dark skin tone, blond hair"
👱🏿,1F471 1F3FF   ,RGI_Emoji_Modifier_Sequence,"person: dark skin tone, blond hair"
👲🏻,1F472 1F3FB   ,RGI_Emoji_Modifier_Sequence,person with skullcap: light skin tone
👲🏼,1F472 1F3FC   ,RGI_Emoji_Modifier_Sequence,person with skullcap: medium-light skin tone
👲🏽,1F472 1F3FD   ,RGI_Emoji_Modifier_Sequence,person with skullcap: medium skin tone
👲🏾,1F472 1F3FE   ,RGI_Emoji_Modifier_Sequence,person with skullcap: medium-dark skin tone
👲🏿,1F472 1F3FF   ,RGI_Emoji_Modifier_Sequence,person with skullcap: dark skin tone
