emoji,code_points,description
👨🏽‍❤️‍👨🏼,1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FC ,"couple with heart: man, man, medium skin tone, medium-light skin tone"
👨🏽‍❤️‍👨🏽,1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FD ,"couple with heart: man, man, medium skin tone"
👨🏽‍❤️‍👨🏾,1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FE ,"couple with heart: man, man, medium skin tone, medium-dark skin tone"
👨🏽‍❤️‍👨🏿,1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FF ,"couple with heart: man, man, medium skin tone, dark skin tone"
👨🏽‍❤️‍💋‍👨🏻,1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB,"kiss: man, man, medium skin tone, light skin tone"
👨🏽‍❤️‍💋‍👨🏼,1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC,"kiss: man, man, medium skin tone, medium-light skin tone"
👨🏽‍❤️‍💋‍👨🏽,1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD,"kiss: man, man, medium skin tone"
👨🏽‍❤️‍💋‍👨🏾,1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE,"kiss: man, man, medium skin tone, medium-dark skin tone"
👨🏽‍❤️‍💋‍👨🏿,1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF,"kiss: man, man, medium skin tone, dark skin tone"
👨🏽‍🤝‍👨🏻,1F468 1F3FD 200D 1F91D 200D 1F468 1F3FB     ,"men holding hands: medium skin tone, light skin tone"
👨🏽‍🤝‍👨🏼,1F468 1F3FD 200D 1F91D 200D 1F468 1F3FC     ,"men holding hands: medium skin tone, medium-light skin tone"
👨🏽‍🤝‍👨🏾,1F468 1F3FD 200D 1F91D 200D 1F468 1F3FE     ,"men holding hands: medium skin tone, medium-dark skin tone"
👨🏽‍🤝‍👨🏿,1F468 1F3FD 200D 1F91D 200D 1F468 1F3FF     ,"men holding hands: medium skin tone, dark skin tone"
👨🏾‍❤️‍👨🏻,1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FB ,"couple with heart: man, man, medium-dark skin tone, light skin tone"
👨🏾‍❤️‍👨🏼,1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FC ,"couple with heart: man, man, medium-dark skin tone, medium-light skin tone"
👨🏾‍❤️‍👨🏽,1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FD ,"couple with heart: man, man, medium-dark skin tone, medium skin tone"
👨🏾‍❤️‍👨🏾,1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FE ,"couple with heart: man, man, medium-dark skin tone"
👨🏾‍❤️‍👨🏿,1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FF ,"couple with heart: man, man, medium-dark skin tone, dark skin tone"
👨🏾‍❤️‍💋‍👨🏻,1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB,"kiss: man, man, medium-dark skin tone, light skin tone"
👨🏾‍❤️‍💋‍👨🏼,1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC,"kiss: man, man, medium-dark skin tone, medium-light skin tone"
👨🏾‍❤️‍💋‍👨🏽,1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD,"kiss: man, man, medium-dark skin tone, medium skin tone"
👨🏾‍❤️‍💋‍👨🏾,1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE,"kiss: man, man, medium-dark skin tone"
👨🏾‍❤️‍💋‍👨🏿,1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF,"kiss: man, man, medium-dark skin tone, dark skin tone"
👨🏾‍🤝‍👨🏻,1F468 1F3FE 200D 1F91D 200D 1F468 1F3FB     ,"men holding hands: medium-dark skin tone, light skin tone"
👨🏾‍🤝‍👨🏼,1F468 1F3FE 200D 1F91D 200D 1F468 1F3FC     ,"men holding hands: medium-dark skin tone, medium-light skin tone"
👨🏾‍🤝‍👨🏽,1F468 1F3FE 200D 1F91D 200D 1F468 1F3FD     ,"men holding hands: medium-dark skin tone, medium skin tone"
👨🏾‍🤝‍👨🏿,1F468 1F3FE 200D 1F91D 200D 1F468 1F3FF     ,"men holding hands: medium-dark skin tone, dark skin tone"
👨🏿‍❤️‍👨🏻,1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FB ,"couple with heart: man, man, dark skin tone, light skin tone"
👨🏿‍❤️‍👨🏼,1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FC ,"couple with heart: man, man, dark skin tone, medium-light skin tone"
👨🏿‍❤️‍👨🏽,1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FD ,"couple with heart: man, man, dark skin tone, medium skin tone"
👨🏿‍❤️‍👨🏾,1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FE ,"couple with heart: man, man, dark skin tone, medium-dark skin tone"
👨🏿‍❤️‍👨🏿,1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FF ,"couple with heart: man, man, dark skin tone"
👨🏿‍❤️‍💋‍👨🏻,1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB,"kiss: man, man, dark skin tone, light skin tone"
👨🏿‍❤️‍💋‍👨🏼,1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC,"kiss: man, man, dark skin tone, medium-light skin tone"
👨🏿‍❤️‍💋‍👨🏽,1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD,"kiss: man, man, dark skin tone, medium skin tone"
👨🏿‍❤️‍💋‍👨🏾,1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE,"kiss: man, man, dark skin tone, medium-dark skin tone"
👨🏿‍❤️‍💋‍👨🏿,1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF,"kiss: man, man, dark skin tone"
👨🏿‍🤝‍👨🏻,1F468 1F3FF 200D 1F91D 200D 1F468 1F3FB     ,"men holding hands: dark skin tone, light skin tone"
👨🏿‍🤝‍👨🏼,1F468 1F3FF 200D 1F91D 200D 1F468 1F3FC     ,"men holding hands: dark skin tone, medium-light skin tone"
👨🏿‍🤝‍👨🏽,1F468 1F3FF 200D 1F91D 200D 1F468 1F3FD     ,"men holding hands: dark skin tone, medium skin tone"
👨🏿‍🤝‍👨🏾,1F468 1F3FF 200D 1F91D 200D 1F468 1F3FE     ,"men holding hands: dark skin tone, medium-dark skin tone"
👩‍❤️‍👨,1F469 200D 2764 FE0F 200D 1F468             ,"couple with heart: woman, man"
👩‍❤️‍👩,1F469 200D 2764 FE0F 200D 1F469             ,"couple with heart: woman, woman"
👩‍❤️‍💋‍👨,1F469 200D 2764 FE0F 200D 1F48B 200D 1F468  ,"kiss: woman, man"
👩‍❤️‍💋‍👩,1F469 200D 2764 FE0F 200D 1F48B 200D 1F469  ,"kiss: woman, woman"
👩‍👦,1F469 200D 1F466                            ,"family: woman, boy"
👩‍👦‍👦,1F469 200D 1F466 200D 1F466                 ,"family: woman, boy, boy"
👩‍👧,1F469 200D 1F467                            ,"family: woman, girl"
👩‍👧‍👦,1F469 200D 1F467 200D 1F466                 ,"family: woman, girl, boy"
👩‍👧‍👧,1F469 200D 1F467 200D 1F467                 ,"family: woman, girl, girl"
👩‍👩‍👦,1F469 200D 1F469 200D 1F466                 ,"family: woman, woman, boy"
👩‍👩‍👦‍👦,1F469 200D 1F469 200D 1F466 200D 1F466      ,"family: woman, woman, boy, boy"
👩‍👩‍👧,1F469 200D 1F469 200D 1F467                 ,"family: woman, woman, girl"
👩‍👩‍👧‍👦,1F469 200D 1F469 200D 1F467 200D 1F466      ,"family: woman, woman, girl, boy"
👩‍👩‍👧‍👧,1F469 200D 1F469 200D 1F467 200D 1F467      ,"family: woman, woman, girl, girl"
👩🏻‍❤️‍👨🏻,1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FB ,"couple with heart: woman, man, light skin tone"
👩🏻‍❤️‍👨🏼,1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FC ,"couple with heart: woman, man, light skin tone, medium-light skin tone"
👩🏻‍❤️‍👨🏽,1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FD ,"couple with heart: woman, man, light skin tone, medium skin tone"
👩🏻‍❤️‍👨🏾,1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FE ,"couple with heart: woman, man, light skin tone, medium-dark skin tone"
👩🏻‍❤️‍👨🏿,1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FF ,"couple with heart: woman, man, light skin tone, dark skin tone"
👩🏻‍❤️‍👩🏻,1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FB ,"couple with heart: woman, woman, light skin tone"
👩🏻‍❤️‍👩🏼,1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FC ,"couple with heart: woman, woman, light skin tone, medium-light skin tone"
👩🏻‍❤️‍👩🏽,1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FD ,"couple with heart: woman, woman, light skin tone, medium skin tone"
👩🏻‍❤️‍👩🏾,1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FE ,"couple with heart: woman, woman, light skin tone, medium-dark skin tone"
👩🏻‍❤️‍👩🏿,1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FF ,"couple with heart: woman, woman, light skin tone, dark skin tone"
👩🏻‍❤️‍💋‍👨🏻,1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB,"kiss: woman, man, light skin tone"
👩🏻‍❤️‍💋‍👨🏼,1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC,"kiss: woman, man, light skin tone, medium-light skin tone"
👩🏻‍❤️‍💋‍👨🏽,1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD,"kiss: woman, man, light skin tone, medium skin tone"
👩🏻‍❤️‍💋‍👨🏾,1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE,"kiss: woman, man, light skin tone, medium-dark skin tone"
👩🏻‍❤️‍💋‍👨🏿,1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF,"kiss: woman, man, light skin tone, dark skin tone"
👩🏻‍❤️‍💋‍👩🏻,1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB,"kiss: woman, woman, light skin tone"
👩🏻‍❤️‍💋‍👩🏼,1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC,"kiss: woman, woman, light skin tone, medium-light skin tone"
👩🏻‍❤️‍💋‍👩🏽,1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD,"kiss: woman, woman, light skin tone, medium skin tone"
👩🏻‍❤️‍💋‍👩🏾,1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE,"kiss: woman, woman, light skin tone, medium-dark skin tone"
👩🏻‍❤️‍💋‍👩🏿,1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF,"kiss: woman, woman, light skin tone, dark skin tone"
👩🏻‍🤝‍👨🏼,1F469 1F3FB 200D 1F91D 200D 1F468 1F3FC     ,"woman and man holding hands: light skin tone, medium-light skin tone"
